"anio","provincia","poblacion","poblacion_aglomerados","factor_extrapolacion"
2012,"CABA",3038860,3004847.5,1.01131921004311
2013,"CABA",3044076,3006423.75,1.01252393312819
2014,"CABA",3049229,2982581.5,1.02234557546877
2015,"CABA",3054267,2983251,1.02380490277218
2016,"CABA",3059122,2920822.66666667,1.04734944538457
2017,"CABA",3063728,2931349.75,1.04515948668357
2018,"CABA",3068043,2943256.25,1.04239751465745
2019,"CABA",3072029,2997503,1.02486269404901
2020,"CABA",3075646,3000015.25,1.02521012184855
2021,"CABA",3078836,3002085.25,1.02556581296284
2022,"CABA",3081550,3003715.5,1.02591274040434
2023,"CABA",3083770,3004852.75,1.02626326697706
2012,"Buenos Aires",16100618,11938930.5,1.34858126529843
2013,"Buenos Aires",16289599,12088042.75,1.34757953267497
2014,"Buenos Aires",16476149,12493435.25,1.31878451925382
2015,"Buenos Aires",16659931,12606046,1.3215825961606
2016,"Buenos Aires",16841135,13603452.3333333,1.23800448498895
2017,"Buenos Aires",17020012,13754395.5,1.23742348400553
2018,"Buenos Aires",17196396,13926095.5,1.23483254872121
2019,"Buenos Aires",17370144,14101568.75,1.2317880590413
2020,"Buenos Aires",17541141,14270341.25,1.22920263031552
2021,"Buenos Aires",17709598,14436015.5,1.22676496156436
2022,"Buenos Aires",17875743,14599884.75,1.22437562392402
2023,"Buenos Aires",18039509,14761690.5,1.22204899228852
2012,"Catamarca",385408,212202.5,1.81622742427634
2013,"Catamarca",389256,214461.25,1.81504117876773
2014,"Catamarca",393088,208777.5,1.88280825280502
2015,"Catamarca",396895,209998,1.88999419042086
2016,"Catamarca",400678,213104.666666667,1.88019345736211
2017,"Catamarca",404433,215419.5,1.8774205677759
2018,"Catamarca",408152,217890.5,1.87319777594709
2019,"Catamarca",411824,220512.5,1.86757666798934
2020,"Catamarca",415438,223037.25,1.86263953666932
2021,"Catamarca",418991,225397.5,1.85889816879069
2022,"Catamarca",422476,227817,1.85445335510519
2023,"Catamarca",425885,230196.75,1.85009128061104
2012,"Córdoba",3450673,1596979.75,2.1607493770663
2013,"Córdoba",3489669,1617773.25,2.15708165529378
2014,"Córdoba",3528687,1676912,2.10427678971824
2015,"Córdoba",3567654,1687539,2.11411647375261
2016,"Córdoba",3606540,1697429,2.12470742517066
2017,"Córdoba",3645321,1707434.75,2.13496943294612
2018,"Córdoba",3683937,1718671,2.14348004941027
2019,"Córdoba",3722332,1730105.5,2.15150578967583
2020,"Córdoba",3760450,1741223.25,2.15965988278643
2021,"Córdoba",3798261,1752131.5,2.167794483462
2022,"Córdoba",3835738,1762876.5,2.17584045167089
2023,"Córdoba",3872830,1773515.25,2.18370267749319
2012,"Corrientes",1038786,368759.75,2.81697229700367
2013,"Corrientes",1049325,373894.75,2.8064716073173
2014,"Corrientes",1059836,378119,2.80291654214678
2015,"Corrientes",1070283,381196.5,2.80769366980022
2016,"Corrientes",1080655,368043,2.93621940914513
2017,"Corrientes",1090938,370773.5,2.94233002088876
2018,"Corrientes",1101084,373828.25,2.94542747906291
2019,"Corrientes",1111052,376948,2.94749408406465
2020,"Corrientes",1120801,379938,2.94995762466508
2021,"Corrientes",1130320,382926.5,2.95179362096904
2022,"Corrientes",1139604,385875.5,2.95329452116032
2023,"Corrientes",1148631,388755.25,2.95463791164235
2012,"Chaco",1105280,400866.5,2.75722715667186
2013,"Chaco",1117953,405680.25,2.75574913987062
2014,"Chaco",1130608,406025.5,2.78457387528616
2015,"Chaco",1143201,408214,2.80049434855247
2016,"Chaco",1155723,382813,3.0190275669844
2017,"Chaco",1168165,384834.5,3.03549967583468
2018,"Chaco",1180477,387050.5,3.04993017706992
2019,"Chaco",1192616,411374,2.89910397837491
2020,"Chaco",1204541,414224,2.90794594229209
2021,"Chaco",1216247,416921,2.91721213371358
2022,"Chaco",1227736,419558.25,2.92625874953001
2023,"Chaco",1238989,422175.25,2.93477412520038
2012,"Chubut",534945,277573,1.92722274861028
2013,"Chubut",545656,287692.75,1.89666232465017
2014,"Chubut",556319,341547,1.62882121640653
2015,"Chubut",566922,350154.5,1.61906244243612
2016,"Chubut",577466,353554,1.63331768273022
2017,"Chubut",587956,359134,1.63714936486103
2018,"Chubut",598380,365497,1.63716802053095
2019,"Chubut",608729,375858.5,1.61956959866546
2020,"Chubut",618994,382073,1.62009354233353
2021,"Chubut",629181,388228.75,1.62064504496383
2022,"Chubut",639294,394288.75,1.62138534259474
2023,"Chubut",649330,400272.75,1.62221884952198
2012,"Entre Ríos",1281931,439252.75,2.9184359118981
2013,"Entre Ríos",1295121,442257.75,2.92843031015285
2014,"Entre Ríos",1308290,432758.25,3.02314282858848
2015,"Entre Ríos",1321415,434108,3.04397753554415
2016,"Entre Ríos",1334489,327151.333333333,4.07911832852075
2017,"Entre Ríos",1347508,328327.75,4.10415507065729
2018,"Entre Ríos",1360443,329796,4.12510461012262
2019,"Entre Ríos",1373270,438716.5,3.13019911491818
2020,"Entre Ríos",1385961,441418,3.13979266817393
2021,"Entre Ríos",1398510,444051.75,3.14943021843738
2022,"Entre Ríos",1410908,446699.5,3.158517079155
2023,"Entre Ríos",1423136,449278.5,3.16760316819078
2012,"Formosa",562794,249043,2.25982661628715
2013,"Formosa",568331,252959.5,2.24672724289857
2014,"Formosa",573823,253528.5,2.26334711876574
2015,"Formosa",579250,256068,2.2620944436634
2016,"Formosa",584614,242165.666666667,2.41410769762298
2017,"Formosa",589916,244610,2.41165937614979
2018,"Formosa",595129,247288.25,2.40662061379787
2019,"Formosa",600229,250139,2.39958183250113
2020,"Formosa",605193,252809.25,2.39387205966554
2021,"Formosa",610019,255414.5,2.38834913444617
2022,"Formosa",614706,258035.25,2.3822559127096
2023,"Formosa",619240,260587.75,2.37632045251552
2012,"Jujuy",701252,318288.25,2.20319788744951
2013,"Jujuy",710121,323690,2.19383051685254
2014,"Jujuy",718971,333490.75,2.15589487864356
2015,"Jujuy",727780,336802,2.16085415169744
2016,"Jujuy",736542,333789.333333333,2.20660736112997
2017,"Jujuy",745252,336640.75,2.21379021998971
2018,"Jujuy",753891,340079.75,2.21680649906382
2019,"Jujuy",762440,343582.5,2.21908857406882
2020,"Jujuy",770881,346899,2.22220588701611
2021,"Jujuy",779212,350175.25,2.22520580766345
2022,"Jujuy",787436,353416.25,2.22806959215939
2023,"Jujuy",795539,356627,2.23073126824385
2012,"La Pampa",333496,125357.5,2.66035937219552
2013,"La Pampa",336706,126754.75,2.65635804575371
2014,"La Pampa",339895,124296,2.73456104782133
2015,"La Pampa",343056,125111.5,2.74200213409639
2016,"La Pampa",346191,122753.666666667,2.82020903652572
2017,"La Pampa",349299,123875,2.81976992936428
2018,"La Pampa",352378,125162.75,2.81535840335883
2019,"La Pampa",355422,126466.75,2.81039878070718
2020,"La Pampa",358428,127679.75,2.80724233874205
2021,"La Pampa",361394,128901.75,2.80363920582925
2022,"La Pampa",364322,130097.5,2.80037664059648
2023,"La Pampa",367207,131294,2.79683001508066
2012,"La Rioja",352476,189847.25,1.85662947448541
2013,"La Rioja",357516,193981.75,1.84303935808394
2014,"La Rioja",362605,199361,1.81883618160021
2015,"La Rioja",367728,202314,1.81761024941428
2016,"La Rioja",372879,202225.333333333,1.84387877549137
2017,"La Rioja",378047,205368.75,1.84082047536444
2018,"La Rioja",383220,208973,1.83382542242299
2019,"La Rioja",388386,218438.5,1.77801074444294
2020,"La Rioja",393531,222142,1.77152902197693
2021,"La Rioja",398648,225809.25,1.7654192642684
2022,"La Rioja",403727,229375,1.76011771117166
2023,"La Rioja",408760,232960.75,1.75463034008948
2012,"Mendoza",1819608,916192,1.98605532464811
2013,"Mendoza",1841813,939467.5,1.96048612644929
2014,"Mendoza",1863809,1057120.25,1.76310027170513
2015,"Mendoza",1885551,1076151,1.75212493414028
2016,"Mendoza",1907045,934446.666666667,2.04082808364308
2017,"Mendoza",1928304,940421.5,2.05046779555763
2018,"Mendoza",1949293,947324.75,2.05768190897578
2019,"Mendoza",1969982,1017246,1.93658367789109
2020,"Mendoza",1990338,1025419.75,1.94099830825377
2021,"Mendoza",2010363,1033374.25,1.94543554767307
2022,"Mendoza",2030061,1041261,1.94961781916349
2023,"Mendoza",2049411,1049045.75,1.95359544614713
2012,"Misiones",1144189,307610,3.71960924547316
2013,"Misiones",1159445,316158.5,3.66729029901141
2014,"Misiones",1174542,347018.5,3.38466681171177
2015,"Misiones",1189446,352665,3.37273616604993
2016,"Misiones",1204182,353889.333333333,3.40270781449568
2017,"Misiones",1218771,357953.75,3.40482813771332
2018,"Misiones",1233177,362640.75,3.40054723579741
2019,"Misiones",1247362,367367.5,3.395406507108
2020,"Misiones",1261294,371885.5,3.3916191946177
2021,"Misiones",1274992,376366.25,3.38763637812902
2022,"Misiones",1288476,380790,3.38369179862917
2023,"Misiones",1301723,385147.75,3.37980164754954
2012,"Neuquén",591422,273487.75,2.16251733395737
2013,"Neuquén",601003,279974.5,2.14663478281058
2014,"Neuquén",610449,300967,2.02829213834075
2015,"Neuquén",619745,306800.5,2.02002604298233
2016,"Neuquén",628897,292080,2.15316694056423
2017,"Neuquén",637913,295607.5,2.15797298783015
2018,"Neuquén",646784,299652.5,2.15844686762166
2019,"Neuquén",655501,303704.75,2.15834951544222
2020,"Neuquén",664057,307640.75,2.15854694152189
2021,"Neuquén",672461,311547.75,2.15845243626378
2022,"Neuquén",680726,315371,2.15849269590419
2023,"Neuquén",688850,319140.25,2.15845541262815
2012,"Río Negro",668663,78126.5,8.55872207253621
2013,"Río Negro",678797,79645.75,8.52270209019314
2014,"Río Negro",688873,84603.5,8.14236999651315
2015,"Río Negro",698874,85947,8.13145310482041
2016,"Río Negro",708799,87853.3333333333,8.06798072545151
2017,"Río Negro",718646,89132.25,8.0626933573426
2018,"Río Negro",728403,90522.5,8.04665138501477
2019,"Río Negro",738060,81839.25,9.01841109247702
2020,"Río Negro",747610,82695,9.0405707721144
2021,"Río Negro",757052,83487,9.06790278726029
2022,"Río Negro",766387,84324.5,9.08854484758285
2023,"Río Negro",775610,85134.75,9.11038089616755
2012,"Salta",1277062,554256.25,2.3041003146108
2013,"Salta",1295944,567859.5,2.28215606149056
2014,"Salta",1314726,610768.25,2.15257751201049
2015,"Salta",1333365,621297.5,2.14609748148029
2016,"Salta",1351878,606127.666666667,2.23035191156099
2017,"Salta",1370283,612969.75,2.23548225666927
2018,"Salta",1388532,620766.25,2.23680330559208
2019,"Salta",1406584,628645.75,2.23748271582207
2020,"Salta",1424397,636420.25,2.23813902841715
2021,"Salta",1441988,643910.5,2.23942302540493
2022,"Salta",1459378,651338.75,2.2405821855371
2023,"Salta",1476539,658685.25,2.24164576328375
2012,"San Juan",713240,480342.75,1.48485638640325
2013,"San Juan",721830,488476.25,1.47771769865986
2014,"San Juan",730408,508442.25,1.43656039599384
2015,"San Juan",738959,513616,1.43873827918133
2016,"San Juan",747488,497823.333333333,1.50151258478577
2017,"San Juan",755994,501774.25,1.50664168199145
2018,"San Juan",764464,506131,1.51040738464943
2019,"San Juan",772876,531110,1.45520890211067
2020,"San Juan",781217,535939,1.45766029342892
2021,"San Juan",789489,540707,1.46010501066197
2022,"San Juan",797697,545416.5,1.46254651261926
2023,"San Juan",805830,550081,1.46492971035175
2012,"San Luis",456924,212147,2.15380844414486
2013,"San Luis",463411,215789.25,2.1475166163282
2014,"San Luis",469889,214485.25,2.19077535634735
2015,"San Luis",476351,216814.5,2.19704401689001
2016,"San Luis",482796,221850.333333333,2.17622391071458
2017,"San Luis",489225,225002.25,2.17431159021743
2018,"San Luis",495629,228649.25,2.1676388617063
2019,"San Luis",502000,232404.75,2.16002469829037
2020,"San Luis",508328,235973.5,2.15417409158232
2021,"San Luis",514610,239488.5,2.1487879376254
2022,"San Luis",520845,242942.75,2.14390015754741
2023,"San Luis",527023,246388,2.13899621734825
2012,"Santa Cruz",293407,94172,3.11565008707471
2013,"Santa Cruz",302420,96815.5,3.12367337874617
2014,"Santa Cruz",311444,107139.5,2.90690174958815
2015,"Santa Cruz",320469,109526,2.92596278509212
2016,"Santa Cruz",329499,113095.666666667,2.91345380164875
2017,"Santa Cruz",338542,115234.75,2.93784643955057
2018,"Santa Cruz",347593,117555.5,2.95684166202347
2019,"Santa Cruz",356647,120041,2.97104322689748
2020,"Santa Cruz",365698,122346,2.98904745557681
2021,"Santa Cruz",374756,124611.5,3.00739498360906
2022,"Santa Cruz",383827,126884.75,3.02500497498714
2023,"Santa Cruz",392904,129122,3.04288967023435
2012,"Santa Fe",3313212,1975042.75,1.67753938490698
2013,"Santa Fe",3341228,2002626,1.66842336012815
2014,"Santa Fe",3369365,2113514,1.59420046425053
2015,"Santa Fe",3397532,2138782.5,1.58853553365057
2016,"Santa Fe",3425656,1991398.66666667,1.72022611912967
2017,"Santa Fe",3453674,2003605.5,1.72372954655994
2018,"Santa Fe",3481514,2017469.5,1.72568358530327
2019,"Santa Fe",3509113,2036623.25,1.72300546996112
2020,"Santa Fe",3536418,2050345.5,1.72479126078995
2021,"Santa Fe",3563390,2063878.25,1.72655048814047
2022,"Santa Fe",3589999,2077199.5,1.72828801470441
2023,"Santa Fe",3616227,2090358.25,1.72995561885146
2012,"Santiago del Estero",898484,381753.25,2.35357262839282
2013,"Santiago del Estero",908268,388204.25,2.33966526641581
2014,"Santiago del Estero",918147,399500.25,2.29823886217843
2015,"Santiago del Estero",928097,403769,2.29858409139879
2016,"Santiago del Estero",938109,379625.333333333,2.4711443563654
2017,"Santiago del Estero",948172,382654.25,2.47788179538056
2018,"Santiago del Estero",958251,386023.5,2.48236441563791
2019,"Santiago del Estero",968309,398818.75,2.42794251774772
2020,"Santiago del Estero",978313,402432,2.43100200779262
2021,"Santiago del Estero",988245,405978.25,2.43423139047474
2022,"Santiago del Estero",998093,409517.5,2.43724138773068
2023,"Santiago del Estero",1007830,412963.25,2.44048350549353
2012,"Tucumán",1530689,828277.75,1.84803829391771
2013,"Tucumán",1551460,838683.25,1.84987598118837
2014,"Tucumán",1572205,860512.5,1.82705655060211
2015,"Tucumán",1592878,866214.5,1.83889556224238
2016,"Tucumán",1613476,877146.666666667,1.83945976347551
2017,"Tucumán",1633992,882405.75,1.85174677295564
2018,"Tucumán",1654388,888461.75,1.86208128824904
2019,"Tucumán",1674622,894778,1.87155026162914
2020,"Tucumán",1694656,900635.25,1.88162299887774
2021,"Tucumán",1714487,906523.5,1.89127694979777
2022,"Tucumán",1734118,912291.5,1.90083761604706
2023,"Tucumán",1753523,918029.25,1.91009491255317
2012,"Tierra del Fuego",139852,127795.5,1.0943421325477
2013,"Tierra del Fuego",143987,131578,1.09430907902537
2014,"Tierra del Fuego",148143,141458.5,1.04725414167406
2015,"Tierra del Fuego",152317,144952.5,1.05080629861506
2016,"Tierra del Fuego",156509,150013.333333333,1.04330059550262
2017,"Tierra del Fuego",160720,153471,1.04723367932704
2018,"Tierra del Fuego",164944,157281.75,1.04871671379547
2019,"Tierra del Fuego",169183,161218.25,1.04940352596558
2020,"Tierra del Fuego",173432,164709.666666667,1.05295580708681
2021,"Tierra del Fuego",177697,168445.25,1.05492437453713
2022,"Tierra del Fuego",181983,171912,1.05858229791987
2023,"Tierra del Fuego",186285,175307.25,1.06262005707123
